flow_m3_day,influent_ph,influent_bod5,influent_cod,influent_tss,effluent_ph,effluent_bod5,effluent_cod,effluent_tss
41746.0,8.0,352.0,471.0,208.0,7.5,24.0,91.0,32.0
43291.0,7.7,215.0,447.0,164.0,7.7,19.0,75.0,32.0
41436.0,7.9,191.0,356.0,192.0,7.6,28.0,103.0,34.0
39402.0,7.9,283.0,274.0,162.0,7.7,28.0,74.0,25.0
39383.0,8.0,216.0,529.0,248.0,7.7,23.0,94.0,22.0
37106.0,7.8,163.0,468.0,202.0,7.7,14.0,100.0,19.0
33711.0,8.0,345.0,457.0,288.0,7.8,19.0,88.0,19.0
35081.0,7.7,431.0,532.0,210.0,7.7,13.0,132.0,13.0
32372.0,7.8,174.0,404.0,192.0,7.7,13.0,55.0,18.0
37283.0,7.7,327.0,376.0,184.0,7.8,15.0,47.0,13.0
42202.0,7.6,184.0,238.0,316.0,7.6,27.0,95.0,39.0
50942.0,7.8,159.0,234.0,292.0,7.8,12.0,36.0,14.0
44040.0,7.9,275.0,330.0,180.0,7.7,25.0,109.0,24.0
43117.0,8.4,134.0,302.0,208.0,7.9,16.0,66.0,20.0
48333.0,7.6,132.0,188.0,172.0,7.7,17.0,78.0,21.0
46540.0,7.8,132.0,297.0,176.0,7.6,24.0,63.0,16.0
46057.0,8.1,133.0,288.0,162.0,7.9,32.0,128.0,40.0
45018.0,7.9,224.0,488.0,456.0,8.0,15.0,36.0,17.0
40552.0,7.9,200.0,395.0,178.0,7.6,17.0,75.0,19.0
53210.0,7.8,87.0,241.0,236.0,7.7,10.0,79.0,16.0
53530.0,8.1,132.0,336.0,330.0,7.7,13.0,68.0,13.0
46659.0,7.7,175.0,321.0,176.0,7.5,12.0,67.0,11.0
45772.0,7.9,162.0,348.0,156.0,7.7,17.0,127.0,14.0
52933.0,7.9,135.0,317.0,180.0,7.8,14.0,91.0,22.0
36510.0,7.9,91.0,325.0,122.0,7.7,15.0,74.0,11.0
34299.0,7.8,210.0,725.0,350.0,7.6,21.0,94.0,18.0
41073.0,8.1,166.0,422.0,184.0,7.8,26.0,81.0,22.0
43536.0,7.8,267.0,342.0,202.0,7.7,12.0,77.0,16.0
34667.0,7.2,165.0,315.0,170.0,7.4,11.0,53.0,19.0
29624.0,7.5,184.0,219.0,148.0,7.5,18.0,37.0,22.0
34069.0,7.5,89.0,298.0,116.0,7.6,16.0,42.0,22.0
37782.0,8.1,155.0,382.0,174.0,7.6,18.0,87.0,24.0
42109.0,7.8,159.0,350.0,150.0,7.7,41.0,152.0,41.0
36088.0,7.5,75.0,133.0,142.0,7.3,9.0,32.0,12.0
47255.0,7.7,181.0,264.0,124.0,7.7,19.0,72.0,28.0
55300.0,7.9,254.0,356.0,206.0,7.6,18.0,100.0,20.0
37646.0,7.8,355.0,556.0,184.0,7.7,42.0,124.0,48.0
34528.0,7.9,262.0,444.0,324.0,7.6,31.0,174.0,67.0
31417.0,7.8,237.0,549.0,236.0,7.7,39.0,287.0,84.0
27333.0,7.6,238.0,348.0,174.0,7.4,44.0,210.0,73.0
30201.0,7.3,137.0,398.0,188.0,7.4,9.0,66.0,10.0
39445.0,8.1,187.0,488.0,216.0,8.0,28.0,80.0,21.0
37252.0,7.6,131.0,436.0,476.0,7.9,13.0,90.0,16.0
37643.0,7.7,145.0,382.0,168.0,8.1,15.0,88.0,15.0
36389.0,7.7,156.0,391.0,156.0,7.9,11.0,86.0,14.0
33020.0,7.7,176.0,422.0,176.0,7.8,14.0,82.0,16.0
36095.0,7.5,112.0,341.0,256.0,7.6,18.0,114.0,27.0
39590.0,7.8,144.0,361.0,220.0,7.6,14.0,74.0,20.0
42859.0,7.8,161.0,326.0,268.0,7.8,23.0,111.0,26.0
36325.0,7.7,135.0,304.0,222.0,7.9,14.0,96.0,18.0
33522.0,7.7,189.0,416.0,248.0,7.8,27.0,108.0,26.0
33680.0,7.6,215.0,532.0,282.0,7.8,17.0,92.0,15.0
31293.0,7.7,150.0,337.0,182.0,7.8,18.0,85.0,20.0
36010.0,7.9,189.0,424.0,264.0,8.0,16.0,68.0,21.0
35445.0,7.9,182.0,388.0,272.0,8.0,18.0,71.0,18.0
32540.0,7.7,290.0,566.0,352.0,7.9,18.0,116.0,15.0
32929.0,7.8,246.0,641.0,376.0,7.9,31.0,100.0,34.0
32575.0,7.7,244.0,607.0,380.0,8.0,18.0,104.0,26.0
27711.0,7.4,342.0,400.0,232.0,7.6,23.0,106.0,38.0
33999.0,7.5,191.0,488.0,506.0,7.7,22.0,110.0,33.0
33959.0,7.7,235.0,614.0,692.0,7.9,16.0,90.0,52.0
33877.0,7.6,166.0,452.0,320.0,7.8,19.0,56.0,28.0
26871.0,7.3,139.0,369.0,284.0,7.5,19.0,116.0,34.0
32909.0,7.5,221.0,391.0,260.0,7.6,17.0,127.0,20.0
44601.0,7.5,140.0,231.0,360.0,7.6,12.0,39.0,11.0
43614.0,7.8,143.0,400.0,472.0,7.8,14.0,82.0,12.0
40529.0,7.7,192.0,253.0,186.0,7.5,14.0,48.0,13.0
38231.0,7.7,124.0,234.0,120.0,7.9,18.0,84.0,74.0
36909.0,7.6,172.0,394.0,226.0,7.8,14.0,74.0,13.0
37002.0,7.6,268.0,324.0,226.0,7.7,13.0,97.0,15.0
43377.0,7.6,176.0,200.0,176.0,7.7,13.0,45.0,18.0
37862.0,7.6,146.0,243.0,164.0,7.7,6.0,59.0,14.0
35809.0,7.8,139.0,380.0,256.0,7.9,11.0,51.0,8.0
41206.0,7.8,117.0,366.0,500.0,7.8,12.0,67.0,12.0
15519.0,7.6,148.0,400.0,564.0,7.7,11.0,54.0,9.0
49986.0,7.8,158.0,256.0,194.0,7.7,10.0,66.0,9.0
51575.0,7.7,123.0,246.0,186.0,7.7,12.0,70.0,15.0
44869.0,7.7,133.0,410.0,204.0,7.7,8.0,144.0,11.0
43491.0,7.5,237.0,388.0,178.0,7.8,12.0,76.0,12.0
45453.0,7.7,203.0,357.0,222.0,7.6,9.0,73.0,13.0
37190.0,7.8,199.0,380.0,244.0,7.9,13.0,43.0,15.0
40067.0,7.8,214.0,941.0,304.0,7.9,11.0,55.0,14.0
46791.0,7.9,206.0,305.0,188.0,7.9,14.0,55.0,10.0
46852.0,7.7,247.0,361.0,286.0,7.9,11.0,56.0,10.0
38761.0,7.5,438.0,681.0,370.0,7.6,15.0,120.0,11.0
42046.0,7.8,255.0,282.0,166.0,7.9,13.0,56.0,20.0
33322.0,7.6,217.0,315.0,400.0,7.5,22.0,81.0,28.0
10050.0,7.6,208.0,556.0,210.0,7.6,18.0,75.0,34.0
55930.0,7.8,223.0,459.0,364.0,8.0,19.0,56.0,23.0
52851.0,8.1,64.0,161.0,172.0,8.1,8.0,31.0,14.0
40585.0,8.0,66.0,152.0,364.0,8.0,11.0,24.0,12.0
45027.0,7.7,48.0,156.0,242.0,8.0,5.0,60.0,12.0
47338.0,8.1,69.0,126.0,138.0,8.0,8.0,52.0,9.0
44207.0,7.8,70.0,188.0,112.0,8.0,12.0,53.0,16.0
43563.0,7.8,95.0,206.0,132.0,7.9,21.0,99.0,39.0
47718.0,7.8,31.0,81.0,208.0,7.9,3.0,25.0,12.0
42587.0,7.8,77.0,256.0,248.0,8.0,7.0,62.0,9.0
35098.0,7.8,100.0,256.0,234.0,8.0,11.0,58.0,10.0
38052.0,7.6,94.0,409.0,194.0,7.9,14.0,65.0,11.0
38905.0,7.7,58.0,197.0,130.0,7.9,20.0,42.0,16.0
38620.0,7.5,95.0,302.0,176.0,7.7,19.0,59.0,15.0
34352.0,7.4,112.0,470.0,172.0,7.6,14.0,97.0,15.0
34785.0,7.5,126.0,397.0,188.0,7.7,16.0,101.0,15.0
27109.0,7.6,158.0,276.0,142.0,7.7,24.0,77.0,21.0
32802.0,7.3,203.0,405.0,212.0,7.4,22.0,114.0,24.0
35876.0,7.9,81.0,448.0,296.0,7.9,27.0,123.0,33.0
40933.0,7.8,120.0,303.0,290.0,7.9,10.0,76.0,10.0
39489.0,7.8,131.0,320.0,166.0,7.8,15.0,74.0,14.0
42230.0,8.1,132.0,288.0,144.0,8.3,11.0,64.0,13.0
29388.0,8.2,339.0,713.0,356.0,7.6,17.0,83.0,12.0
30935.0,8.1,255.0,550.0,214.0,7.8,18.0,87.0,22.0
26348.0,8.1,253.0,473.0,212.0,7.7,23.0,105.0,22.0
28680.0,8.1,256.0,539.0,188.0,7.8,27.0,116.0,23.0
32799.0,8.4,215.0,440.0,190.0,7.8,9.0,60.0,13.0
33545.0,8.2,145.0,747.0,310.0,7.7,15.0,100.0,18.0
28791.0,8.7,354.0,539.0,232.0,7.9,14.0,67.0,17.0
31849.0,8.0,330.0,511.0,184.0,7.7,34.0,119.0,33.0
30352.0,8.2,324.0,539.0,196.0,7.8,21.0,89.0,19.0
32009.0,8.1,288.0,459.0,216.0,7.6,18.0,75.0,18.0
34492.0,7.9,253.0,354.0,162.0,7.9,16.0,69.0,12.0
36452.0,8.2,154.0,310.0,128.0,7.7,15.0,50.0,11.0
34361.0,8.2,172.0,345.0,152.0,7.8,16.0,85.0,14.0
36432.0,8.1,168.0,334.0,196.0,7.8,20.0,74.0,20.0
37009.0,8.3,181.0,348.0,184.0,7.8,21.0,48.0,19.0
37281.0,8.1,287.0,484.0,308.0,7.8,22.0,80.0,16.0
28437.0,7.9,176.0,387.0,162.0,7.7,17.0,51.0,14.0
35263.0,8.0,201.0,434.0,118.0,7.7,12.0,55.0,18.0
34319.0,8.1,236.0,448.0,178.0,7.8,16.0,79.0,17.0
44158.0,8.0,124.0,463.0,230.0,7.6,27.0,90.0,20.0
39223.0,8.1,151.0,294.0,186.0,7.8,9.0,39.0,11.0
44364.0,8.0,182.0,364.0,154.0,7.8,20.0,83.0,17.0
44235.0,7.9,195.0,428.0,210.0,8.0,15.0,75.0,22.0
45151.0,8.3,185.0,457.0,184.0,7.8,18.0,98.0,17.0
47032.0,8.2,139.0,294.0,256.0,7.7,11.0,55.0,14.0
41372.0,7.8,119.0,220.0,128.0,7.9,7.0,45.0,9.0
45729.0,8.2,139.0,263.0,144.0,7.8,9.0,51.0,10.0
49314.0,8.1,166.0,318.0,118.0,7.9,15.0,74.0,12.0
44038.0,8.0,138.0,304.0,136.0,7.8,17.0,106.0,20.0
29816.0,8.5,251.0,447.0,152.0,7.9,26.0,158.0,30.0
29448.0,8.2,192.0,357.0,286.0,7.6,27.0,77.0,31.0
35825.0,8.0,111.0,371.0,142.0,7.7,14.0,131.0,24.0
47384.0,8.2,147.0,224.0,146.0,7.7,15.0,23.0,18.0
47306.0,8.2,206.0,324.0,166.0,7.8,12.0,66.0,23.0
40127.0,8.1,233.0,456.0,214.0,7.9,33.0,140.0,32.0
28005.0,8.2,226.0,419.0,178.0,7.8,19.0,100.0,28.0
28819.0,8.4,195.0,392.0,188.0,7.9,18.0,86.0,19.0
27098.0,8.2,197.0,497.0,254.0,7.7,10.0,70.0,19.0
42667.0,8.3,173.0,427.0,208.0,7.7,16.0,105.0,20.0
47222.0,8.1,148.0,321.0,142.0,7.8,12.0,78.0,14.0
32157.0,8.1,243.0,572.0,200.0,7.8,13.0,86.0,13.0
25687.0,8.2,316.0,743.0,280.0,7.7,16.0,98.0,16.0
26040.0,8.1,302.0,702.0,244.0,7.8,19.0,118.0,18.0
47623.0,7.7,283.0,310.0,170.0,7.9,16.0,85.0,20.0
54578.0,7.9,313.0,341.0,512.0,7.9,13.0,74.0,16.0
36911.0,7.7,300.0,610.0,452.0,7.7,21.0,116.0,14.0
35244.0,7.8,177.0,412.0,196.0,7.7,8.0,90.0,17.0
39566.0,7.7,192.0,416.0,236.0,7.8,13.0,78.0,14.0
45469.0,7.3,129.0,237.0,234.0,7.5,7.0,66.0,19.0
46240.0,7.9,122.0,287.0,168.0,7.8,12.0,43.0,16.0
45903.0,8.0,90.0,271.0,144.0,7.7,10.0,41.0,14.0
44343.0,8.0,169.0,327.0,126.0,7.9,15.0,93.0,17.0
39343.0,8.0,140.0,555.0,282.0,7.8,7.0,75.0,10.0
34347.0,7.9,155.0,243.0,210.0,8.0,9.0,35.0,12.0
53012.0,8.2,157.0,361.0,208.0,7.9,12.0,51.0,17.0
52258.0,8.4,195.0,246.0,172.0,8.0,11.0,42.0,18.0
49493.0,8.1,102.0,269.0,156.0,7.8,10.0,54.0,13.0
46200.0,8.3,192.0,294.0,172.0,7.9,15.0,69.0,20.0
46069.0,8.2,185.0,334.0,156.0,7.9,16.0,65.0,11.0
44324.0,7.8,174.0,173.0,134.0,7.8,21.0,81.0,28.0
48950.0,8.1,109.0,211.0,880.0,7.9,7.0,35.0,13.0
60017.0,7.9,120.0,284.0,518.0,8.0,11.0,88.0,20.0
41569.0,7.9,115.0,357.0,334.0,7.9,8.0,61.0,18.0
44858.0,8.1,380.0,318.0,194.0,7.9,16.0,71.0,22.0
26343.0,7.7,275.0,553.0,528.0,7.7,24.0,87.0,29.0
32884.0,7.8,169.0,337.0,132.0,7.7,14.0,71.0,14.0
40745.0,7.7,156.0,547.0,166.0,7.7,15.0,120.0,17.0
39804.0,7.9,209.0,416.0,196.0,7.7,16.0,107.0,19.0
45804.0,7.9,170.0,380.0,146.0,7.8,23.0,127.0,21.0
42289.0,7.7,150.0,289.0,182.0,7.7,25.0,87.0,21.0
44548.0,7.9,218.0,272.0,216.0,7.7,16.0,101.0,18.0
36792.0,7.9,168.0,303.0,148.0,7.7,16.0,78.0,12.0
36410.0,8.0,173.0,396.0,242.0,7.7,21.0,70.0,18.0
33988.0,7.8,161.0,391.0,148.0,7.8,19.0,94.0,14.0
36479.0,8.1,192.0,422.0,176.0,7.8,20.0,152.0,16.0
31592.0,8.0,217.0,549.0,248.0,7.8,15.0,74.0,13.0
31789.0,7.9,215.0,549.0,234.0,7.8,18.0,101.0,18.0
27968.0,8.0,202.0,471.0,242.0,7.7,25.0,83.0,21.0
30853.0,8.0,179.0,455.0,168.0,7.6,24.0,99.0,22.0
29815.0,8.0,224.0,400.0,160.0,7.7,20.0,94.0,22.0
32578.0,7.8,223.0,443.0,184.0,7.8,29.0,86.0,22.0
33784.0,7.9,166.0,392.0,186.0,7.8,20.0,94.0,20.0
33029.0,7.9,226.0,624.0,264.0,7.6,27.0,60.0,22.0
48657.0,7.7,72.0,180.0,122.0,7.6,21.0,72.0,18.0
44085.0,7.4,183.0,325.0,228.0,7.7,15.0,94.0,18.0
34917.0,7.5,156.0,311.0,226.0,7.4,12.0,29.0,15.0
32217.0,7.7,365.0,370.0,172.0,7.6,13.0,70.0,16.0
38105.0,8.4,230.0,517.0,218.0,8.0,16.0,82.0,13.0
30701.0,8.1,136.0,447.0,196.0,7.6,29.0,106.0,27.0
34290.0,8.1,194.0,435.0,166.0,7.7,14.0,51.0,13.0
35338.0,8.0,195.0,574.0,166.0,7.7,17.0,83.0,16.0
37120.0,8.0,212.0,546.0,184.0,7.8,16.0,91.0,14.0
35190.0,8.1,227.0,812.0,350.0,7.8,21.0,91.0,20.0
33714.0,8.4,228.0,473.0,200.0,7.7,31.0,117.0,22.0
32736.0,8.2,257.0,629.0,312.0,7.8,28.0,108.0,22.0
34441.0,8.1,199.0,486.0,240.0,7.7,31.0,147.0,28.0
32888.0,8.1,185.0,401.0,156.0,7.8,24.0,97.0,22.0
34461.0,8.1,222.0,662.0,252.0,7.8,24.0,86.0,25.0
34045.0,8.0,129.0,506.0,178.0,7.6,22.0,54.0,19.0
36421.0,8.2,240.0,507.0,356.0,7.7,22.0,78.0,20.0
37662.0,8.1,238.0,490.0,170.0,8.0,23.0,95.0,20.0
29990.0,7.9,204.0,469.0,212.0,7.8,18.0,20.0,14.0
27340.0,7.7,254.0,411.0,174.0,7.7,17.0,96.0,19.0
30055.0,7.8,230.0,422.0,222.0,7.7,27.0,106.0,24.0
31494.0,8.0,290.0,459.0,228.0,7.8,28.0,57.0,22.0
31765.0,7.9,240.0,887.0,314.0,7.7,26.0,95.0,23.0
25342.0,8.3,275.0,494.0,212.0,7.8,18.0,138.0,22.0
32441.0,8.1,198.0,351.0,134.0,7.9,15.0,77.0,17.0
40740.0,8.2,127.0,444.0,172.0,7.8,15.0,85.0,15.0
34637.0,8.1,231.0,368.0,162.0,7.8,18.0,92.0,15.0
34322.0,8.4,249.0,600.0,216.0,7.7,18.0,88.0,12.0
35111.0,7.9,228.0,461.0,126.0,7.8,14.0,89.0,13.0
40585.0,8.3,230.0,524.0,158.0,7.8,13.0,92.0,13.0
37735.0,7.9,203.0,487.0,168.0,7.8,17.0,166.0,15.0
34277.0,8.2,133.0,531.0,220.0,7.7,11.0,83.0,17.0
41451.0,8.0,131.0,384.0,154.0,7.8,18.0,95.0,19.0
45183.0,7.8,205.0,347.0,142.0,7.7,19.0,100.0,19.0
27415.0,7.7,241.0,332.0,158.0,7.7,12.0,156.0,11.0
42614.0,8.3,113.0,347.0,120.0,7.8,7.0,84.0,11.0
48914.0,8.1,203.0,434.0,128.0,7.7,13.0,60.0,11.0
49174.0,7.9,188.0,434.0,126.0,7.8,22.0,155.0,28.0
45151.0,8.2,166.0,307.0,118.0,7.7,19.0,116.0,27.0
37143.0,8.2,222.0,493.0,162.0,7.7,16.0,105.0,11.0
30244.0,7.6,224.0,337.0,146.0,7.7,17.0,78.0,8.0
34032.0,8.2,223.0,470.0,166.0,7.8,16.0,86.0,13.0
34904.0,8.0,272.0,665.0,188.0,7.7,20.0,76.0,15.0
36063.0,8.2,346.0,350.0,144.0,7.8,20.0,61.0,10.0
35500.0,8.2,148.0,545.0,188.0,7.7,14.0,71.0,11.0
37730.0,8.0,427.0,815.0,204.0,7.4,23.0,101.0,20.0
28209.0,7.9,319.0,532.0,250.0,7.7,15.0,60.0,14.0
32680.0,8.2,334.0,594.0,256.0,7.9,20.0,62.0,11.0
32974.0,8.1,311.0,420.0,208.0,7.8,18.0,41.0,12.0
33189.0,8.1,238.0,591.0,202.0,7.9,16.0,63.0,17.0
34579.0,8.3,261.0,592.0,216.0,7.8,24.0,47.0,13.0
46126.0,7.5,122.0,289.0,114.0,7.6,12.0,99.0,10.0
43445.0,7.8,133.0,295.0,158.0,7.7,14.0,66.0,12.0
35990.0,7.9,142.0,272.0,160.0,7.6,18.0,74.0,14.0
36976.0,7.9,152.0,510.0,136.0,7.6,16.0,65.0,11.0
33085.0,7.7,185.0,518.0,202.0,7.7,14.0,65.0,13.0
34150.0,7.9,228.0,486.0,184.0,7.8,24.0,86.0,16.0
60081.0,7.6,100.0,212.0,280.0,7.4,15.0,59.0,14.0
57629.0,7.3,80.0,204.0,180.0,7.4,10.0,51.0,10.0
48110.0,7.7,179.0,340.0,150.0,7.2,14.0,96.0,10.0
59184.0,7.5,94.0,189.0,120.0,7.5,13.0,33.0,10.0
47489.0,7.6,135.0,297.0,164.0,7.7,20.0,43.0,18.0
35374.0,7.9,175.0,566.0,292.0,7.8,20.0,80.0,16.0
33434.0,7.9,223.0,538.0,284.0,7.9,18.0,104.0,19.0
31967.0,7.9,222.0,516.0,456.0,7.7,21.0,96.0,19.0
32835.0,7.8,159.0,516.0,248.0,7.7,17.0,72.0,15.0
33000.0,7.7,153.0,404.0,238.0,7.7,33.0,111.0,41.0
47243.0,7.7,168.0,376.0,272.0,7.7,14.0,87.0,15.0
40295.0,7.7,238.0,327.0,194.0,7.7,12.0,79.0,14.0
38792.0,7.7,250.0,431.0,196.0,7.7,15.0,90.0,17.0
36162.0,7.4,224.0,421.0,204.0,7.7,18.0,98.0,20.0
36495.0,7.7,213.0,627.0,2008.0,7.6,16.0,119.0,13.0
36922.0,7.6,122.0,338.0,174.0,7.6,14.0,44.0,12.0
43497.0,7.8,134.0,323.0,190.0,7.7,15.0,56.0,13.0
38809.0,7.6,179.0,432.0,1228.0,7.6,18.0,71.0,17.0
34301.0,7.9,243.0,459.0,286.0,7.8,15.0,103.0,14.0
33968.0,7.7,198.0,546.0,308.0,7.7,17.0,79.0,27.0
34573.0,7.7,156.0,276.0,146.0,7.7,30.0,43.0,44.0
35395.0,7.8,273.0,473.0,210.0,7.7,22.0,85.0,22.0
34525.0,7.8,312.0,576.0,224.0,7.8,23.0,74.0,23.0
35861.0,8.1,242.0,492.0,176.0,7.9,20.0,84.0,19.0
43082.0,7.8,173.0,496.0,178.0,7.7,23.0,88.0,23.0
27931.0,7.5,296.0,455.0,278.0,7.6,15.0,106.0,13.0
32954.0,7.7,269.0,423.0,192.0,7.7,16.0,110.0,15.0
33773.0,7.9,233.0,506.0,222.0,7.7,18.0,90.0,16.0
33666.0,7.6,237.0,494.0,204.0,7.6,24.0,71.0,57.0
39715.0,7.8,241.0,539.0,212.0,7.8,20.0,81.0,13.0
28923.0,7.2,133.0,467.0,186.0,7.5,20.0,147.0,31.0
32317.0,7.5,166.0,393.0,242.0,7.6,13.0,27.0,10.0
33090.0,7.9,205.0,453.0,198.0,7.8,15.0,70.0,22.0
33371.0,7.8,290.0,448.0,218.0,7.8,19.0,92.0,22.0
33813.0,7.7,212.0,468.0,224.0,7.8,18.0,92.0,14.0
35456.0,8.1,184.0,412.0,216.0,7.7,14.0,84.0,12.0
